Performance Hours,Crowd Size (avg),tricks_per_hour,weekend,weather_score,costume_quality,interaction_level,location_type,daily_tips
6.0,37,4,0,6.0,7,7,market,220.21
7.0,56,11,0,2.0,7,3,tourist_spot,205.05
3.0,41,6,1,3.0,7,9,tourist_spot,217.65
5.0,22,17,0,6.0,3,7,park,173.2
1.0,48,11,0,3.0,7,7,subway,166.02
7.0,29,7,0,10.0,5,3,park,173.3
7.0,46,14,0,10.0,7,8,subway,238.77
1.0,42,17,1,8.0,3,3,subway,180.23
3.0,26,3,1,5.0,5,7,subway,196.52
4.0,50,5,1,9.0,8,4,subway,190.74
8.0,32,11,0,4.0,10,2,market,188.88
6.0,27,13,0,9.0,10,4,market,193.51
8.0,34,10,0,9.0,4,6,market,204.43
5.0,50,6,1,3.0,6,4,subway,186.54
2.0,16,5,0,6.0,10,2,market,129.27
3.0,38,17,0,9.0,6,5,market,195.3
1.0,22,4,0,6.0,6,9,park,140.03
6.0,46,5,1,10.0,4,2,tourist spot,211.57
1.0,57,16,0,9.0,6,3,tourist_spot,169.5
3.0,40,16,0,8.0,10,8,market,214.59
5.0,30,15,0,10.0,10,-3,market,246.87
3.0,8,14,1,6.0,3,8,park,196.7
4.0,77,15,1,10.0,4,6,tourist_spot,233.87
4.0,25,7,1,5.0,5,8,market,190.58
8.0,36,8,1,9.0,5,8,subway,252.36
1.0,17,7,0,4.0,7,7,park,106.76
1.0,46,12,0,2.0,4,2,tourist_spot,117.06
5.0,54,3,1,9.0,10,3,subway,208.74
4.0,38,7,0,5.0,4,8,market,178.63
5.0,51,13,0,3.0,10,10,tourist_spot,232.53
5.0,60,8,1,5.0,7,8,,246.88
,46,14,0,7.0,3,5,subway,192.98
4.0,32,15,0,8.0,7,2,market,172.25
5.0,25,17,0,2.0,5,7,SUBWAY,183.4
1.0,31,4,0,7.0,10,10,SUBWAY,149.36
8.0,53,17,1,2.0,7,5,subway,220.42
8.0,48,9,0,3.0,5,3,tourist_spot,199.88
4.0,67,17,0,6.0,3,9,tourist_spot,221.83
6.0,89,5,1,2.0,9,10,tourist_spot,265.69
2.0,28,9,1,,3,3,subway,145.11
4.0,15,16,0,10.0,5,8,market,206.12
8.0,46,10,0,5.0,8,2,tourist_spot,223.81
7.0,46,12,1,3.0,10,9,subway,232.69
3.0,64,7,0,4.0,5,8,tourist_spot,194.3
2.0,28,13,0,4.0,8,10,park,181.14
5.0,42,12,0,4.0,5,3,subway,149.88
7.0,35,17,0,2.0,9,4,tourist_spot,224.13
1.0,12,10,0,8.0,7,4,park,105.64
3.0,29,16,1,9.0,10,10,park,232.56
7.0,35,17,0,2.0,9,4,tourist_spot,224.13
7.0,31,16,0,6.0,4,3,park,185.27
5.0,27,16,1,7.0,4,3,park,167.73
2.0,35,9,0,6.0,7,2,tourist_spot,159.27
8.0,11,7,0,8.0,8,10,park,200.09
7.0,53,3,0,10.0,10,3,subway,199.06
1.0,37,15,0,8.0,5,10,market,184.53
1.0,53,17,0,7.0,10,3,subway,148.51
1.0,33,13,1,5.0,5,9,park,193.77
8.0,19,15,0,8.0,10,4,market,239.48
4.0,46,7,1,3.0,3,6,tourist_spot,200.66
7.0,40,6,0,9.0,9,10,MARKET,246.81
1.0,21,5,1,6.0,6,6,park,159.87
1.0,28,3,1,6.0,3,2,subway,
8.0,39,5,1,7.0,10,9,market,270.65
8.0,58,13,1,3.0,9,9,tourist_spot,319.0
3.0,50,11,1,10.0,8,2,subway,197.73
6.0,16,8,1,6.0,4,6,market,201.32
5.0,37,15,1,5.0,6,4,subway,191.27
2.0,18,5,1,9.0,6,9,market,212.51
2.0,22,10,0,2.0,6,4,market,128.57
7.0,24,15,0,2.0,5,2,market,161.2
7.0,86,3,0,0.0,5,4,tourist_spot,220.07
6.0,37,17,1,4.0,3,2,subway,207.47
2.0,19,12,0,5.0,9,6,park,150.79
1.0,43,9,0,10.0,6,7,subway,143.21
5.0,21,12,0,10.0,6,8,park,173.37
1.0,53,16,0,10.0,8,6,subway,181.75
1.0,20,17,1,2.0,10,10,market,217.36
8.0,10,14,0,3.0,7,5,park,180.71
6.0,41,11,1,3.0,5,5,tourist_spot,244.91
1.0,26,17,0,10.0,9,8,park,167.87
2.0,59,16,0,8.0,7,3, tourist_spot  ,
1.0,28,8,0,4.0,4,6,park,122.47
5.0,30,12,0,8.0,4,7,market,198.28
3.0,49,3,1,6.0,5,4,subway,181.22
5.0,41,7,0,9.0,4,6,subway,193.49
6.0,27,6,1,3.0,4,2,subway,157.19
5.0,30,10,0,8.0,10,4,park,185.7
,45,12,1,10.0,4,4,subway,175.42
2.0,40,10,0,7.0,3,6,market,154.48
1.0,42,15,0,2.0,5,8,subway,128.74
1.0,74,17,0,8.0,5,5,tourist_spot,185.38
7.0,23,17,0,4.0,10,2,park,192.0
3.0,38,4,1,8.0,7,7,tourist_spot,205.12
2.0,44,12,0,9.0,6,6,subway,151.16
1.0,39,8,0,6.0,4,5,subway,134.96
6,38,10,0,3.0,15,6,tourist_spot,178.52
3.0,8,7,1,9.0,6,9,park,202.06
3.0,15,7,1,3.0,10,9,,221.0
4.0,24,4,0,6.0,10,7,market,167.58
1.0,43,11,0,7.0,6,9,subway,165.02
5.0,36,12,0,2.0,9,6,subway,182.03
5.0,30,6,0,10.0,8,2,park,162.69
2.0,43,3,0,7.0,3,3,subway,118.43
6.0,15,8,1,2.0,4,5,market,184.91
8.0,31,3,0,10.0,8,6,park,195.34
4.0,60,17,0,10.0,6,3,tourist_spot,228.87
8.0,50,4,1,3.0,8,7,subway,225.54
1.0,68,16,0,8.0,6,6,tourist_spot,175.55
2.0,42,8,0,8.0,4,10,market,169.1
3.0,38,5,1,6.0,5,4,subway,163.19
5.0,250,14,0,4.0,4,2,subway,156.82
7.0,23,10,1,7.0,7,9,park,246.75
7.0,66,11,0,3.0,6,8,tourist_spot,233.34
2.0,29,5,1,9.0,10,8,subway,201.25
7.0,45,3,1,3.0,5,2,subway,208.21
5.0,33,14,1,5.0,3,10,park,209.66
8.0,28,14,1,2.0,5,9,park,223.41
1.0,32,8,0,5.0,5,9,market,148.66
4.0,63,15,0,5.0,7,8,tourist_spot,205.0
5.0,31,15,0,7.0,7,7,park,189.03
3.0,39,4,2,8.0,9,3,tourist_spot,168.86
3.0,33,5,1,6.0,6,5,market,175.92
6.0,15,4,1,9.0,7,9,market,246.78
4.0,47,16,1,3.0,4,10,subway,207.76
4.0,71,16,1,3.0,9,10,tourist_spot,276.77
8.0,27,6,1,4.0,10,3,subway,205.8
2.0,70,16,0,2.0,7,7,tourist_spot,181.03
14.0,33,7,1,10.0,7,8,park,209.56
4.0,19,11,0,3.0,4,7,market,162.18
5.0,43,3,1,5.0,3,8,tourist_spot,249.75
5.0,52,12,0,10.0,4,3,subway,177.33
3.0,61,17,1,6.0,3,10,tourist_spot,235.06
4.0,24,12,0,2.0,4,5,park,125.6
5.0,67,13,0,3.0,3,3,tourist_spot,170.67
6.0,76,3,0,2.0,7,8,tourist_spot,203.27
5.0,37,4,0,10.0,10,2,market,179.09
5.0,49,8,0,9.0,8,7,subway,230.5
6.0,33,7,0,2.0,7,6,park,170.95
5.0,80,17,0,10.0,8,2,tourist_spot,231.04
1,30,12,1,2.0,9,9,market,202.14
1.0,37,5,0,4.0,3,4,tourist_spot,119.4
6.0,50,12,1,10.0,7,5,subway,850.0
1.0,18,11,0,7.0,4,2,park,88.57
2.0,24,11,1,,3,9,park,175.3
8.0,14,11,1,2.0,9,3,park,202.72
7.0,32,3,0,10.0,6,10,market,227.27
,83,11,0,3.0,6,3,tourist_spot,159.36
3.0,44,7,0,2.0,6,5,market,139.02
1.0,25,7,0,2.0,8,2,market,127.2
1.0,29,4,0,7.0,6,5,subway,138.78
7.0,36,9,0,6.0,3,3,market,175.27
