temperature_c,ice_cream_sales
32.57,285.34
24.27,214.91
27.61,246.19
9.18,89.77
7.62,77.5
28.64,244.43
14.78,133.6
21.23,185.66
12.21,117.83
21.36,190.21
17.02,154.09
26.46,234.79
30.1,259.74
22.65,206.48
13.88,138.99
13.43,124.84
26.17,238.82
17.68,160.35
6.72,73.33
27.41,243.18
18.57,160.49
10.27,95.96
6.48,71.18
13.77,129.75
7.0,67.26
27.53,243.04
6.91,72.66
17.96,165.11
15.93,144.83
9.56,102.73
21.4,187.06
18.3,161.99
6.08,58.96
29.69,257.44
13.2,129.41
10.07,108.09
24.33,214.49
8.23,88.28
15.6,140.56
16.57,155.98
18.37,170.47
34.31,295.7
26.88,229.83
14.37,129.3
31.84,278.71
28.5,239.06
12.86,130.49
14.28,126.36
8.88,94.56
17.67,151.09
33.19,287.07
16.01,153.86
18.04,169.11
32.51,289.19
33.42,296.6
12.64,119.36
26.29,222.65
6.5,70.68
9.04,84.51
20.2,183.49
22.67,195.46
14.81,135.05
9.34,89.19
12.73,120.37
30.72,265.63
25.52,225.56
34.96,307.46
14.58,137.73
18.6,169.61
31.03,269.73
24.16,222.79
14.96,148.87
21.26,189.1
8.37,88.49
29.5,255.29
11.63,114.18
20.45,184.26
20.78,191.38
13.31,127.05
32.13,287.52
17.61,166.79
33.47,287.16
28.59,245.32
19.45,178.75
5.36,75.97
6.79,71.98
29.77,261.23
17.14,165.42
6.59,76.86
12.79,122.68
13.43,127.38
33.3,284.37
31.81,266.47
11.07,109.24
8.01,81.43
22.19,198.95
27.36,240.4
23.02,196.68
32.28,275.4
33.16,288.57
