Account_Age_Months,Total_Purchases,Average_Order_Value,Days_Since_Last_Login,Support_Tickets_Opened,Is_Subscribed_To_Newsletter,Discount_Usage_Ratio,Churn
29.8,4,13.14,11.8,0,0,0.474,0
19.7,13,52.99,1.3,0,1,0.389,0
18.4,14,22.18,5.9,2,0,0.615,0
18.4,11,12.82,7.1,3,1,0.773,0
54.2,12,44.27,52.2,1,0,0.606,1
35.0,3,51.83,6.0,2,1,0.314,0
15.5,11,13.18,11.1,0,0,0.212,0
30.7,14,26.71,20.0,0,1,0.264,0
25.4,14,76.75,3.2,2,1,0.242,0
3.9,14,50.4,12.0,1,1,0.159,0
9.9,17,25.11,24.1,1,1,0.589,0
26.6,11,21.8,36.3,1,1,0.548,0
51.2,23,129.51,17.7,2,0,0.368,0
18.5,7,12.03,19.9,2,0,0.328,1
14.6,13,31.77,2.4,1,0,0.502,0
23.3,17,11.88,52.5,3,0,0.371,1
14.0,14,83.13,2.6,1,0,0.309,0
17.7,10,32.95,26.8,1,0,0.319,1
21.5,12,37.51,5.5,0,0,0.584,0
9.5,15,230.03,48.8,1,1,0.226,1
36.2,15,21.86,22.9,0,0,0.555,0
8.2,11,112.62,25.2,3,1,0.442,1
7.4,15,25.19,4.5,1,0,0.698,0
24.7,7,28.12,10.5,0,1,0.294,0
34.5,14,209.92,17.3,1,1,0.163,0
24.3,13,29.58,26.5,0,0,0.426,1
20.0,19,12.65,2.0,0,0,0.2,0
17.5,9,40.34,59.0,0,0,0.19,1
15.6,11,29.34,39.8,0,0,0.647,1
41.2,12,42.82,5.7,1,1,0.624,0
26.8,5,30.16,31.1,0,1,0.356,0
16.5,13,156.16,13.1,0,0,0.365,0
13.2,23,48.9,11.2,2,0,0.363,0
32.0,16,15.6,6.8,2,0,0.51,0
40.7,13,36.13,15.7,0,0,0.295,0
38.5,9,18.92,23.6,1,1,0.041,0
11.5,16,27.84,9.5,1,0,0.172,0
17.4,21,17.51,17.9,1,0,0.242,1
15.4,13,144.75,21.6,0,0,0.302,1
19.0,26,20.41,22.4,2,0,0.511,0
36.0,14,53.59,1.0,1,1,0.617,0
48.4,13,26.41,35.4,0,0,0.243,0
27.4,11,14.72,11.0,0,1,0.37,0
13.5,18,38.03,5.5,1,1,0.54,0
21.1,16,43.84,5.0,0,0,0.251,0
53.8,9,48.96,11.9,1,0,0.6,0
23.0,10,5.28,39.2,1,1,0.161,0
17.6,13,13.95,8.6,1,1,0.356,0
18.6,20,64.73,24.9,1,1,0.351,0
27.4,9,17.35,1.8,2,0,0.492,0
11.8,22,38.17,11.6,0,1,0.184,0
15.1,8,13.73,86.2,2,0,0.581,1
38.1,12,55.26,26.5,1,1,0.477,0
26.9,23,63.55,4.3,2,1,0.422,0
23.1,22,55.28,12.5,2,0,0.315,0
39.3,23,68.22,4.8,0,1,0.43,0
12.9,25,98.96,9.5,3,0,0.525,0
17.2,11,14.56,27.3,0,1,0.531,0
26.3,11,19.07,26.6,2,0,0.307,0
25.7,10,62.07,4.7,1,1,0.221,0
