CropType,Fertilizer_kg_per_hectare,Water_mm_per_season,Pesticide_L_per_hectare,CropYield_tons
Corn,134.7,530.6,5.75,9.17
Soybean,108.1,798.5,6.18,6.44
Wheat,145.5,822.8,8.6,6.41
Wheat,112.2,599.0,8.93,5.61
Soybean,179.5,745.8,3.12,7.19
Rice,190.7,729.4,0.98,6.86
Wheat,174.2,497.5,0.5,5.92
Wheat,196.2,989.8,1.65,6.23
Wheat,148.2,681.9,5.91,7.3
Corn,273.0,565.1,1.64,8.83
Corn,151.8,842.7,4.96,9.77
Rice,200.3,,5.0,8.39
Rice,196.3,698.7,,8.46
Rice,163.5,728.2,7.49,7.93
Wheat,191.1,792.2,6.88,7.13
Corn,217.3,966.9,2.64,9.05
Rice,148.1,592.7,8.54,6.68
Corn,273.1,833.7,4.64,9.07
Rice,137.7,726.9,6.09,8.35
Soybean,115.1,718.0,5.03,6.39
Rice,148.9,552.8,3.09,7.99
Corn,193.4,928.8,3.98,9.38
Soybean,164.7,1004.5,2.0,5.91
Wheat,142.5,572.0,4.68,8.25
Corn,138.0,743.2,3.98,10.06
Corn,327.3,905.6,2.33,7.57
Wheat,242.6,566.7,3.02,7.19
Corn,121.3,260.4,9.64,6.48
Corn,115.1,893.0,0.1,8.2
Wheat,198.5,438.7,5.78,7.19
Soybean,89.1,827.4,6.53,5.51
Soybean,99.1,839.4,6.35,6.43
Wheat,274.8,493.3,1.77,5.9
Wheat,154.7,618.5,3.82,7.7
Corn,237.0,829.9,4.58,9.6
Wheat,176.6,1171.9,3.41,6.73
Wheat,243.2,678.2,2.62,7.36
Corn,173.6,775.4,6.38,9.01
Wheat,149.4,682.2,1.98,7.14
Rice,116.4,753.5,4.55,8.09
Corn,222.5,940.1,4.61,9.85
Corn,247.2,867.3,3.41,9.68
Soybean,132.1,1076.6,3.96,6.11
Corn,280.6,804.9,1.36,8.91
Soybean,,,5.77,6.77
Wheat,192.8,856.0,2.37,7.54
Rice,200.5,828.5,7.75,7.25
Soybean,261.2,732.3,2.07,6.65
Rice,149.0,918.2,4.35,7.85
Wheat,187.2,842.0,,7.22
Wheat,146.8,825.3,7.72,7.15
Soybean,67.8,597.1,0.59,5.25
Wheat,121.3,593.5,6.08,6.52
Rice,177.6,902.2,3.7,8.41
Corn,248.6,,2.47,9.11
Soybean,178.0,891.9,7.43,6.11
Wheat,140.9,593.7,3.33,7.84
Rice,153.0,742.0,6.99,7.86
Corn,184.3,684.2,1.82,9.6
Rice,173.3,680.3,28.5,8.48
Rice,331.6,849.1,6.91,5.81
Wheat,,,7.47,6.54
Wheat,281.8,1084.9,2.06,5.96
Corn,300.6,505.3,3.47,9.11
Wheat,166.7,1016.8,5.97,7.23
Rice,262.1,364.9,0.0,5.52
Corn,120.1,633.5,4.77,9.74
Rice,163.8,381.4,6.65,7.47
Corn,275.6,1059.4,9.18,7.15
Rice,165.1,786.5,4.41,8.01
Corn,279.9,825.2,6.88,8.66
Rice,200.9,667.7,6.52,7.89
Corn,147.4,338.0,2.98,9.63
Wheat,113.4,327.5,7.54,5.51
Wheat,95.5,819.5,7.27,6.04
Corn,158.3,723.2,5.97,9.29
Rice,334.4,1061.2,5.35,5.65
Soybean,132.4,945.8,0.1,5.57
Rice,220.5,700.7,0.0,6.87
Rice,146.7,303.6,8.94,6.34
Soybean,230.1,1070.5,4.43,6.13
Rice,148.2,691.2,1.51,7.59
Corn,287.8,485.9,0.13,7.82
Rice,203.7,819.6,8.23,7.36
Corn,285.3,554.2,9.25,7.43
Wheat,214.6,600.5,4.2,8.02
Rice,57.7,415.2,4.67,6.04
Corn,236.3,553.0,9.25,8.29
Wheat,235.4,749.3,5.78,7.18
Corn,137.2,925.0,7.74,9.43
Corn,,501.1,4.06,9.11
Wheat,146.9,374.6,5.22,6.55
Rice,143.3,751.4,4.97,8.25
Soybean,192.7,426.4,7.27,5.68
Corn,233.4,632.9,2.7,9.35
Wheat,77.8,1267.5,3.74,5.89
Corn,89.1,884.9,4.16,9.46
Corn,182.1,992.4,1.44,9.1
Corn,153.3,714.2,4.92,9.98
Wheat,144.0,613.5,5.84,7.35
Soybean,80.7,912.1,3.49,5.79
Wheat,243.9,658.9,2.03,6.57
Wheat,217.4,710.2,2.61,7.54
Corn,55.1,391.4,4.17,8.26
Wheat,158.2,516.2,6.27,8.05
Wheat,56.0,843.0,4.95,6.49
Rice,157.5,650.6,5.0,8.29
Corn,187.8,780.3,12.48,4.77
Corn,189.0,761.4,4.98,10.01
Wheat,186.0,629.5,1.94,7.43
Corn,214.2,1171.3,2.1,8.22
Rice,126.3,804.4,6.74,8.09
Wheat,77.4,768.2,3.85,6.61
Corn,112.5,748.2,5.89,10.29
Soybean,142.6,442.6,2.88,6.82
Rice,270.2,824.1,3.24,7.23
Soybean,154.4,799.8,7.07,6.65
Wheat,260.7,448.5,2.83,6.67
Wheat,213.8,557.7,4.49,7.48
Wheat,243.5,45.0,3.95,7.39
Corn,133.6,834.8,4.81,0.8
Corn,232.3,952.7,0.0,8.15
Rice,103.2,545.6,6.18,8.15
Rice,145.4,930.4,0.0,5.92
Rice,223.5,687.3,2.62,7.69
Rice,112.5,809.1,4.31,7.68
Rice,152.3,533.7,0.72,7.21
Soybean,128.6,656.8,4.72,7.33
Soybean,165.7,1156.6,2.71,5.72
Wheat,246.2,974.5,4.27,7.26
Wheat,186.9,741.1,5.17,7.51
Soybean,97.0,826.0,5.98,5.99
Wheat,130.1,579.8,7.98,6.38
Soybean,178.6,1195.5,7.79,5.15
Soybean,82.3,708.4,9.21,5.12
Wheat,174.7,678.2,1.26,6.79
Soybean,91.3,1030.2,2.66,5.66
Rice,222.7,632.3,7.82,8.03
Rice,182.8,981.3,6.3,8.04
Corn,247.6,226.3,5.31,9.29
Wheat,120.9,424.7,5.1,6.8
Wheat,242.3,861.2,0.0,6.13
Rice,156.7,665.1,0.34,7.56
Corn,172.3,872.9,6.31,9.35
Rice,,854.3,1.83,6.78
Corn,163.9,559.4,4.99,9.93
Rice,-45.0,1175.9,3.87,7.56
Wheat,73.3,562.8,5.31,6.57
Soybean,176.7,383.2,6.96,5.86
Rice,266.8,1005.8,8.53,6.34
Wheat,850.0,811.6,2.81,7.44
