car_id,make,model,year,mileage,price,transmission,fuel_type,condition,seller_rating,num_photos,description_length,days_listed,sold_fast
1001,Nissan,Altima,2013,81162,1813.86,Manual,Gas,Good,4.2,14,450,5,0
1002,Chevrolet,Malibu,2013,57847,2646.43,Automatic,Gas,Fair,3.2,16,327,104,0
1003,BMW,X5,2008,25918,1500.0,Automatic,Gas,Fair,3.0,29,576,28,0
1004,Nissan,Altima,2007,39153,1500.0,Automatic,Gas,Excellent,4.6,25,281,76,1
1005,Honda,Civic,2021,51141,14246.64,Automatic,Diesel,Excellent,3.1,16,481,100,1
1006,Hyundai,Elantra,2006,22981,1500.0,Automatic,Gas,Fair,4.1,34,417,60,0
1007,BMW,X5,2005,38429,1500.0,Automatic,Gas,Good,4.8,13,298,77,1
1008,BMW,X5,2012,88556,1500.0,Manual,Gas,Excellent,4.6,24,436,21,1
1009,Nissan,Altima,2017,140981,4272.95,Manual,Hybrid,Good,3.8,12,531,96,0
1010,Ford,F-150,2019,46552,9913.48,Automatic,Gas,Fair,3.2,12,413,49,0
1011,Honda,Civic,2012,94267,1500.0,Automatic,Gas,Excellent,4.5,31,414,56,0
1012,Nissan,Altima,2016,18988,3612.1,Automatic,Gas,Fair,5.0,30,269,57,1
1013,Honda,Civic,2016,88935,6161.21,Automatic,Gas,Excellent,3.8,32,571,85,1
1014,Honda,Civic,2018,36961,7667.49,Automatic,Gas,Fair,3.7,34,556,61,1
1015,Hyundai,Elantra,2019,71998,6300.3,Manual,Diesel,Good,3.9,29,338,101,0
1016,BMW,X5,2019,51603,17890.71,Automatic,Diesel,Good,4.5,11,381,38,1
1017,Chevrolet,Malibu,2013,132223,1788.64,Automatic,Gas,Good,4.9,28,612,73,1
1018,Hyundai,Elantra,2023,35430,11189.48,Manual,Gas,Fair,3.5,4,229,101,0
1019,Hyundai,Elantra,2012,87252,1500.0,Automatic,Gas,Fair,3.3,16,490,2,0
1020,Honda,Civic,2023,50629,13867.16,Automatic,Hybrid,Good,5.0,9,316,3,1
1021,Mercedes,C-Class,2010,54448,1500.0,Automatic,Gas,Good,4.1,19,666,43,1
1022,BMW,X5,2023,53620,27016.36,Automatic,Gas,Good,,26,409,74,0
1023,Ford,F-150,2008,36047,1500.0,Automatic,Gas,Good,3.8,34,589,35,0
1024,Hyundai,Elantra,2011,59369,1500.0,Automatic,Gas,Fair,4.5,22,285,73,1
1025,Chevrolet,Malibu,2008,57665,1500.0,Automatic,Gas,Excellent,4.8,10,212,40,1
1026,Mercedes,C-Class,2016,69199,12970.29,Manual,Gas,Excellent,4.4,26,364,112,1
1027,Mercedes,C-Class,2017,62988,12881.77,Manual,Gas,Good,5.0,22,439,118,0
1028,Ford,F-150,2007,96644,1500.0,Automatic,Gas,Excellent,4.0,6,323,96,1
1029,Hyundai,Elantra,2016,104203,3977.62,Automatic,Gas,Fair,4.0,7,513,85,0
1030,Chevrolet,Malibu,2006,31876,1500.0,Automatic,Gas,Good,4.3,15,368,58,1
1031,BMW,X5,2006,100837,1500.0,Automatic,Gas,Good,4.5,9,87,34,1
1032,Toyota,Camry,2013,29383,3227.31,Automatic,Gas,Fair,4.3,8,482,25,0
